question_set	model_answer	score_range
25	ቀውሱን በፍጥነት ማስቆም ቀውሱን ያስከተለውን ጉዳይ በአፋጣኝ መቀነስና የመንግስት ወይም የተቋመን ተአማኒነት መልሶ መገንባት ናቸው	3
26	ሚድያ ለህዝብ ለህዝብ ግንኙነት የሚያበረክተው ጠቀሜታ ብዙ ነው የተቋሙን የድርጅቱን እንቅስቃሴ መልእክት ለማስተላለፍ ያስችላል በቀውስ ወቅት የተቋሙን ደህንነት መልስ ለመገንባት ስለተቋሙ የሚወሩ አሉባልታዎችን ለማወቅና ለማስወገድ የሚቻለው በሚድያ ነው የተቋሙን ጊዴታ መልሶ ለመገንባት የሚቻለው በሚዲያ አማካይነት ነው ለተቋሙ ለአገር ግንባታ የሚያስፈልጉ ገንዘብ ለማሰባባሰብ ያግዛል ህዝብን ተደራሽን ለማሳመን ይጠቅማል የህዝብ ግንኙነት ባለሙያ ያዘጋጀውን ዕቅድ ወደተግባር ለመቀየር ያስችላል ምርትና አገልግሎትን ለማስተዋወቅ	4
27	የህዝብ ግንኙነት ባለሙያ መቸም ቢሆን ተጨባጩን እውነት ለማንም ሲባል ማጣመም ስለሚያስፈልግ ነው የህዝብ ግንኙነት ስራ በተጨባጭ እውነት ላይ ካልተመሰረተ ጥፋት ማስከተሉ ስለሚያቀርበው የህዝብ ግንኙነት ባለሙያ ነፃ ካልሆነ ሥራውን በሚገባ ሊያከናውን አይችልም	4
28	በመጀመርያ የሁኔታቸው ግምገማ በጠራ መረጃ ላይ መመስረት አለበት ያለውን አመለካካት ለማወቅ ያስችላል   ጥናትና ምርምር ማካሄድ በታሰበው ጉዳይ ላይ ተደራሹ ማህበረሰብ ያለውን አመለካከት ለማወቅ ያስችላል  የናሙና ጥናት ማካሄድ የናሙና ጥናት የተደረገላቸውን ማህበረሰብ አስተያየት ለማወቅ ያስችላል ናሙና በተወሰኑ መጠይቆች አማካነት የሚዘጋጅ ነው ግብር መልክ በአንድ ጥናት በተላለፈ መልእክት ላይ ተደራሹ ማኅበረሰብ የሚፈጥረውን ግንዛቤና የሚያሳየውን  አዝማሚያ መነሻ በማድረግ  የሚሰበሰብና ለመልእክት አመንጩ የሚተላለፍ ምላሽ ነው	4
29	ተመሳስሎ ሁሉም መልእትን ለማስተላላፍ ያግዛሉ ወደ ተደራሽ ማህበረሰብ ለማቅረብ አይነተኛ መሳርያዎች ናቸው ልዩነት የፕሬስ መግለጫ ለቆዩ ጉዳዮች ላይና ህዝቡ ሊያውቀው በሚገባ ጉዳይ ላይ ይዘጋጃል የዜና መግለጫ ለትኩስና ባልቆዩ ጉዳዩች ላይ ይመሰረታል የፕሬስ ኪት የህዝብ ግንኙነት ሙያተኛው የሚወክለውን ተቋም ወይም አገር ለማስተዋወቅ አስፈላጊ መረጃዎችን አሰባስቦ ለሚድያው ለተደራሹ ማህበረሰብ የሚቀርቡበት ጥራዝ ነው	3
30	አገሪቱ ተቋሙ በሚድያው ባገኘው ሽፋን መጠንና አይነት በተደራሹ ማህበረሰብ ዘንድ በተፈጠሩ አስተያየቶች እና ይህንን ተከትሎ በተወሰዱ ተግባራዊ እርምጃዎች በመመዘን የሚያረጋግጥ ነው ይህንን ጉዳዩ በሶስተኛ ወገን በማስጠናት ማረጋገጥም ይቻላል ሶስተኛ ወገኑ ፕሮፌሽናል ወይም ለራስ ባለሙያም ማስጠናት ይቻላል	4
31	የአደባባይ የንግግር ጽሁፍ ለማካሄድ ለጽሑፍ መዘጋጀት ዝግጅት ማድረግ ይገባል ዝግጅቱን ማን ምን የትና መቼ የሚሉት ጉዳዮች ሊመለሱ ይገባል  ቃለ መጠይቅ ማድረግ ከተናጋሪው ጋር የሚደረግ አጭር ቃለ ምልልስ ማደረግ የሚዘጋጀውን ጽሁፍ ጥናት የማረጋገጥ ከፍተኛ ሂደት ያጎናጽፋል ምርምር ጥናት ማካሄድ በጉዳዩ ላይ ቀደም ተብሎ የተሠራ መጽሀፍ  ጽሁፍ  ሊፈተሸ ይገባል በጉዳዩ ላይ የተሻለ እውቀት ያላቸውን ሰዎችም ማረጋገጥ ይገባል ሃሳብ አደረጃጀት መፃፍ ከዚህ በኋላ ሃሳብን በማደራጀት መፃፍ ይገባል በዚህ ጊዜ ጽሁፉ ጥሩ መግቢያ መሪ ሃሳብ ዋና አካል እና ጥሩ ማጠቃለያ ሊቀርብ ይገባል	4
5	የአጃቢነት ተግባር የመላሽነት ተግባር የአድማጭነት ተግባር	3
6	ቁሶች የተሰሩባቸውን ንጥረ ቁሶች እንደፈለግን በየትም ቦታ የማናገኛቸው መሆኑ የበለጠ እሴት ወይም ዋጋ እንድንሰጣቸው ያደርገናል ቁሶች የተለየ እሴት ባለቤት የሚሆኑት ቁሶቹ መጀመሪያ ሲሰሩ ከታለመላቸው ግልጋሎት በተጨማሪ ሰዎች ተጨማሪ እሴት ሲጭኑባቸው ነው ከዚህ በተጨማሪ የተወሰኑ ቁሶች ከዘወትር ግልጋሎታቸው በተጨማሪ የጥበባዊ እሴት መገለጫ መሆናቸው ነው	3
7	ቁሱ በባህሉ ውስጥ የተሰጠውን እሴት የቁሱን አገልግሎትና ኢኮኖሚያዊ ጠቀሜታ የቁሱን ገጽታ ቃላዊውም ይሁን ቁሳዊው የፈጠራ ችሎታ በፈጣሪዎቹ አእምሮ ውስጥ ተደብቆ ስለሚገኝ እሱን መመርመር	4
8	መድሃኒቶቹ እንዳይ ረክሱ ዋጋ እንዳያጡ መተዳደሪያ በመሆናቸው ሌሎች ሰዎች የኢኮኖሚ ተጋሪ እንዳይሆኑ መድሃኒቶቹ ከባዕድ ነገር ስለሚቀመሙ ተጠቃሚዎች መድሃኒቶች መፈወሻ ብቻ ሳይሆኑ መግደያም ጭምር ስለሆኑ የማህበረሰቡን ደህንነት ለመጠበቅ ሲባልማሚዎች ካወቁ አንወስድም እንዳይሉ መድሃኒት አዋቂዎቹ ሙያውን ሲማሩ የሚፈጽሙት መሃላ ስላለ ምሲጢር ይሆናሉ	3
21	ስነ ጽሁፍ ባለያጋባቸው ማህበረሰቦች ውስጥ በቃል የሚተላለፈው ፎክሎራዊ ጉዳይ ፎክሎ አይደለም ተብሎ በመታሰቡ አንደኛው ፎክሎር በቃል ብቻ ነው የሚተላለፍ የሚለውን ሀሳብ ስለሚሰፍር ከቃላት ከሚተላለፉባቸው ይልቅ በድርጊት የሚተላለፉነት ላያካተቱ መሆናቸውንና በእንቅስቃሴ የሚከናውኑት ፈረስ ጉግስ ጭፈራ ወዘተ በውስጥ ላይጨምሩ መሆኑ	2
22	ህዝባዊ ስነጽሁፍ እና ህዝባዊ ቅኝት	2
20	ደራሲ የሌለው ዌም የደራሲው ስም የማይጠራ በመሆኑ ማንኛውም ሰው መዝፈን የሚችለው መሆኑ የከሌ የሚባል ደራሲ የለውም  በሁሉም ማህበረሰብ የታወቀ መሆኑና በሰዎች በሰርግ  በክብረ በዓላት  በጫወታ  በመዝናኛ ዜማቸውን እየቀያየሩ ማንም ሳይጠይቃቸው መጠቀማቸው  የማይሰለች ከትውልድ ትውልድ የሚተላለፍ መሆኑ  አካላዊ  ህሊናዊ እና መንፈሳዊ እርካታ ያጎናጽፋሉ	2
