question_set	stu_answer	score_1	score_2	final_score
25	ቀውሱን በፍጥነት ማስቆም  የቀውሱን መንስኤ ማወቅ  ተቋሙን ድርጅቱን  በቀውሱ ተመታውን ክፍል  መልሶ መገንባት	3	2	3
25	ቀውሱን በፍጥነት ለማስቆም ቀውሱ ያስከተላቸውን ጉዳቶች ለመቀነስና የመንግስት ወይም የተቋማትን ተአማኒነት መልሶ ለመገንባት 	3	3	3
25	ቀውሱ ለምን እቅድ ተከስተ መገምግምና ቶሎ እርምጃ መውሰድ እራስን ከዚያ ቀውስ ገምግሞ ቶሎ ከውድቀት እዲመለሱ የአረጋዋል 	1	0	1
25	ቀውሱን ማቅም አንድ ሀገር ወይም ተቋምን መልሱ መገምባት	2	1	2
25	ቀውሱን በፍጥነት ማስቆም  የቀውሱን መንስኤ መለየት  የመንግስትሰና የተቋሙን ተአማኒነት መልስ መገንባት	3	3	3
25	በቀውስ በፍጥነት ማቆም   የቀውሱነ መቀነስ  የድርጅቱ ዌም የመንግስት ስም  ህልውና እንደገና መገንባት	3	3	3
25	ቀውሱን በፍጥነት ማስቆም  ቀውሱ ያስከተለውን ጉዳት በአፋጣኝ መቀነስ  የድርጅቱን ተቋሙን መልሶ መገንባት ናቸው 	3	3	3
25	ቀውሱን ማስወገድ  ለቀውስ ወቅት ማቀድ እና በቀውስ ወቅት የሚደረግ ተግባቦት	1	1	1
25	ቀውሱን ማቆም መንስኤውን ማወቅ እና የመንግስትን ታአማኒነት መልሶ ማረጋገጥ	3	1	2
25	ቀውሱን በአፋጣኝ ማስወገድ በቀውሱ የተጠቁ ማህበረሰብ ያቀረበው ቀውስ ምክንያት መለየት ለቀውሱ ተጨባጭ ምላሽ መስጠት	3	3	3
25	ቀውሱን ማስቆም  የቀውሱን አጋጣሚ አስቀድሞ መከላከል  ቀድም መገኛትና ለምመለከተው ክፍል ሪፖርት ማድረግ 	2	2	2
25	ጥራት ያለው ጽሁፍ የይዘቱ ፋይዳ የመንግስት ወይም የተቋሙ ታማኝነት	0	1	1
25	ቀነ ገደብ ማወቅ መቼም አለመጠራጠር	0	0	0
25	ቀውስን በፍጥነት ማስቆም  ቀውስ የሚያስከትለው ጉዳይ ድርጅትና ተቋም መንግስት	3	2	3
25	ለተፈጠረው ቀውስ አፋጣኝ ምላሽ መስጠት የቀውሱን ችግር መለየት ቀውሱ ሚወቀስበት እቅድ ማቀድ ይኖብናል 	2	3	3
25	ቀውሱ ለደረሰበት አፋጣኝ ምላሽ መስጠት ለቀው መፈጠር የሆኑ ምክንያቶች መለየት ለመንግስት   ለተቃሙ ግንባታ መፍትሄ መፈለግ	3	3	3
25	ማሳወቅ  ማሳመን ለተግባር ማነሳሳት	0	0	0
25	ቀውሱ የተከሰተበትን ምክንያት ማወቅ ለችግሩ መፍተሄ ማፈላለግ  ቀውሱን በተቻለ መጠን እንድረግስ ማስቻል 	2	3	3
25	ቀውሱን ማስቆም የቀውሱን ችግር ለመፍታት የህግ ወይም የመንግስት አካል ያለው ድርሻ የቀውሱ መንስኤ ምን እንደሆነ ለማወቅ መሞከር	2	3	3
25	ቀውስን በፍጥነት ማቆም  በቀውሱን መንስኤ የተጎዱነት  ጉዳቱን  በአፋጣኝ መቀነስ ቀውሱ በመንግስት በተቋሙ ላይ የደረሰውን መፍትሄ መገንባት 	3	3	3
25	ቀውስን በፍጥነት ማስቆም ቀውሱ ያስከተለውን ጉዳት መቀነስ ለመንግስት ወይም ለድርጅቱ ተአማኒነት መመለስ	3	3	3
25	ስራውን ማቀድ የእቅድ ዝግጅት በእቅድ መሰረት ስራውን ማደከናወን ውጤቱን ገምግሞ ለቀጣይ ስራ መዘጋጃ	0	0	0
25	ቀውሱን በፍጥነት ማስቆም ቀውሱን ሊያስከትሉ የሚችሉ ነገሮችን መቀነስ የመንግስት ወይም የድርጅት ታአማኒነት መልስ መገንባት	3	1	2
25	ቀውስን በፍጥነት መቆም ቀውስ የሚመለከትው ጉዳት በፍጥነት መቆጣጠር የመንግስት የድርጅቱን ተማኒነት መገንባት	3	2	2
